trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
+,1.188,-2195,190.5,183.1,198.9,ns,0.385,ns,NA,NA,61.25,65.32,55.07,ns,0.3642,+,0.149,-296.5,4.577,4.246,5.022,ns,0.003212,ns,NA,NA,158100,84070,74060,ns,0.03122,-,-30.45,62910,34550,19800,14750,ns,0.4683,ns,NA,NA,2.374,2.207,2.597,ns,0.00445,-,-0.003688,10.4,2.994,3.027,2.95,-,0.01347,ns,NA,NA,0.7666,0.7433,0.7979,+,0.01746,ns,NA,NA,0.7204,0.7176,0.7242,ns,0.003212,-,-0.01699,41.6,10.45,9.893,9.599,ns,0.4683,ns,NA,NA,0.5563,0.552,0.562,ns,0.00445,ns,NA,NA,24890,14210,10680,ns,0.3434,-,-6.242e-4,2.432,1.18,1.188,1.171,-,0.01347,ns,NA,NA,0.3756,0.3716,0.381,+,0.01746,conus_ak_Arid,1222.6735857840245,Arid
ns,NA,NA,177.4,180.2,174.1,ns,0.05203,+,0.2587,-464.7,60.62,57.2,64.33,ns,0.07285,ns,NA,NA,2.612,2.652,2.567,-,0.01758,ns,NA,NA,229700,125300,104500,ns,0.03122,ns,NA,NA,87940,47240,40690,ns,0.1145,+,0.01583,-30.65,1.029,1.013,1.048,+,0.01929,ns,NA,NA,2.888,2.922,2.85,-,0.009594,+,0.004315,-8.2,0.4209,0.4172,0.4252,+,0.01298,ns,NA,NA,0.5683,0.57,0.5664,-,0.01758,ns,NA,NA,11.38,10.76,10.61,ns,0.1145,ns,NA,NA,0.4269,0.4265,0.4273,+,0.01929,ns,NA,NA,49970,26930,23050,ns,0.1769,ns,NA,NA,1.106,1.11,1.101,-,0.009594,ns,NA,NA,0.2931,0.2929,0.2933,+,0.01298,conus_ak_Boreal,841.626067923204,Boreal
ns,NA,NA,172.2,179,163.3,ns,0.1145,-,-0.4335,1007,137.4,139.9,133.5,ns,0.2393,ns,NA,NA,1.565,1.601,1.518,ns,0.002827,-,-23.8,49010,26100,14900,11200,ns,0.4059,-,-10.44,21820,16680,9303,7374,ns,0.4059,ns,NA,NA,0.6246,0.6328,0.6143,ns,0.006432,ns,NA,NA,4.365,4.389,4.334,ns,0.002,ns,NA,NA,0.2945,0.2969,0.2916,ns,0.008468,-,-0.001324,3.285,0.6388,0.6389,0.6388,ns,0.002827,-,-0.0125,31.82,9.722,9.138,8.906,ns,0.4059,ns,NA,NA,0.402,0.4025,0.4014,ns,0.006432,-,-7.898,16420,10650,5943,4710,ns,0.4059,ns,NA,NA,1.355,1.356,1.354,ns,0.002,ns,NA,NA,0.2445,0.245,0.2438,ns,0.008468,conus_ak_Equatorial,7408.869102252374,Equatorial
-,-1.802,3836,216.9,221.3,208.2,-,0.5099,+,1.384,-2761,24.16,20.09,28.74,+,0.614,-,-0.009281,19.18,0.5735,0.6217,0.4971,-,0.04675,-,-6.21,12580,2730,1814,915.6,ns,0.1561,-,-10.16,20610,4760,2918,1842,ns,0.07285,-,-0.007116,14.68,0.3869,0.4165,0.3401,-,0.06901,ns,NA,NA,2.039,2.061,2.003,ns,0.01842,-,-0.002965,6.24,0.275,0.2848,0.2594,-,0.08052,-,-0.003521,7.445,0.3733,0.3893,0.348,-,0.04675,-,-0.0611,128.4,8.468,7.979,7.519,ns,0.07285,-,-0.00321,6.753,0.2927,0.3048,0.2735,-,0.06901,-,-3.907,7958,1777,1136,641,ns,0.1353,ns,NA,NA,0.9713,0.9784,0.96,ns,0.01842,-,-0.001981,4.214,0.2339,0.2401,0.2242,-,0.08052,conus_ak_Polar,70826.80639235105,Polar
ns,NA,NA,108,113.8,103.7,ns,0.2393,ns,NA,NA,100.4,109.4,92.89,ns,0.2602,+,0.03283,-64.29,1.642,1.468,1.799,+,0.0831,+,18.24,-36390,7034,2987,4048,+,0.7597,+,3.563,-6969,4284,2034,2250,+,0.5724,+,0.02076,-40.28,1.489,1.399,1.57,+,0.07556,+,0.04474,-85.46,4.47,4.256,4.664,+,0.0574,+,0.005919,-11.22,0.6902,0.6686,0.7098,+,0.04775,+,0.008958,-17.32,0.6945,0.6495,0.7352,+,0.0831,+,0.01925,-33.55,8.363,7.618,7.719,+,0.5724,+,0.0086,-16.57,0.7465,0.7159,0.7742,+,0.07556,+,5.674,-11280,2975,1321,1654,+,0.6972,+,0.007492,-13.66,1.398,1.352,1.44,+,0.0574,+,0.002597,-4.73,0.4838,0.4741,0.4926,+,0.04775,costa_rica_Equatorial,149.99676098186748,Equatorial
NA,NA,NA,80.8,81.37,80.03,NA,NA,NA,NA,NA,15.68,15.65,16.28,NA,NA,NA,NA,NA,0.9088,0.8819,0.9483,NA,NA,NA,NA,NA,33.63,19.4,14.22,NA,NA,NA,NA,NA,37,22,15,NA,NA,NA,NA,NA,1.323,1.346,1.288,NA,NA,NA,NA,NA,2.622,2.455,2.867,NA,NA,NA,NA,NA,0.7702,0.7978,0.7296,NA,NA,NA,NA,NA,0.4535,0.428,0.4908,NA,NA,NA,NA,NA,3.638,3.135,2.773,NA,NA,NA,NA,NA,0.6973,0.6953,0.7003,NA,NA,NA,NA,NA,16.78,9.417,7.361,NA,NA,NA,NA,NA,1.066,1.041,1.102,NA,NA,NA,NA,NA,0.537,0.5442,0.5265,NA,NA,costa_rica_Temperate,31378.141681667,Temperate
NA,NA,NA,66,NA,66,NA,NA,NA,NA,NA,-0,NA,-0,NA,NA,NA,NA,NA,0.4321,NA,0.4321,NA,NA,NA,NA,NA,0.4321,0,0.4321,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,0.644,NA,0.644,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,0.644,NA,0.644,NA,NA,NA,NA,NA,0.3591,NA,0.3591,NA,NA,NA,NA,NA,0.6931,0,0.6931,NA,NA,NA,NA,NA,0.4971,NA,0.4971,NA,NA,NA,NA,NA,0.3591,0,0.3591,NA,NA,NA,NA,NA,1.099,NA,1.099,NA,NA,NA,NA,NA,0.4971,NA,0.4971,NA,NA,costa_rica_Polar,2441830.8415983445,Polar
-,-5.876,11980,157.6,162.6,151,ns,0.4631,-,-4.345,8793,87.33,96.86,72.29,-,0.6976,ns,NA,NA,1.469,1.149,2.338,+,0.08728,ns,NA,NA,997.5,569.8,427.8,ns,0.1978,-,-1.225,2480,679,496,183,ns,0.3959,ns,NA,NA,3.477,3.184,4.269,+,0.08155,ns,NA,NA,3.532,3.425,3.82,+,0.08256,+,0.02907,-56.77,1.67,1.639,1.754,+,0.1344,ns,NA,NA,0.6191,0.5775,0.732,+,0.08728,-,-0.05953,123.3,6.522,6.209,5.215,ns,0.3959,ns,NA,NA,1.166,1.167,1.164,-,0.08155,ns,NA,NA,420.4,286.4,133.9,ns,0.3436,ns,NA,NA,1.243,1.217,1.312,+,0.08256,ns,NA,NA,0.8504,0.8615,0.8205,-,0.1344,croatia_Boreal,1126.4867424943236,Boreal
ns,NA,NA,210.2,212.9,206,ns,0.14,-,-2.238,4525,46.87,47.4,45.79,ns,0.3018,ns,NA,NA,2.796,2.394,3.767,+,0.1811,-,-1.148,2322,1068,646.3,421.9,ns,0.3434,-,-1.179,2382,382,270,112,ns,0.4586,ns,NA,NA,6.328,5.701,7.841,ns,0.1038,-,-0.03092,65.33,3.594,3.596,3.589,ns,0.04837,+,0.04807,-94.7,2.454,2.293,2.841,+,0.1347,ns,NA,NA,0.8423,0.7557,1.051,+,0.1811,-,-0.09458,193,5.948,5.602,4.727,ns,0.4586,ns,NA,NA,1.427,1.362,1.583,ns,0.1038,-,-0.5559,1125,321.7,204,117.7,ns,0.3434,ns,NA,NA,1.301,1.292,1.32,ns,0.04837,+,0.01316,-25.34,1.037,0.991,1.149,+,0.1347,croatia_Temperate,1051.9521660253324,Temperate
ns,NA,NA,193.2,167.4,213.1,ns,0.07285,ns,NA,NA,65.31,71.2,52.51,ns,0.05203,ns,NA,NA,0.5799,0.6501,0.5353,ns,0.03854,ns,NA,NA,314.9,137.2,177.7,ns,0.3018,ns,NA,NA,543,211,332,ns,0.3034,-,-0.03236,65.71,0.744,1.093,0.5224,-,0.2709,ns,NA,NA,2.376,2.336,2.401,ns,0.009798,-,-0.014,28.57,0.4757,0.6344,0.3748,-,0.3088,-,-0.004322,9.071,0.3805,0.398,0.3694,ns,0.03854,ns,NA,NA,6.299,5.357,5.808,ns,0.3034,-,-0.0193,39.33,0.4478,0.5609,0.376,-,0.2709,ns,NA,NA,206.6,83.98,122.6,ns,0.3018,ns,NA,NA,1.03,1.032,1.029,ns,0.009798,-,-0.009405,19.24,0.3506,0.4374,0.2954,-,0.3088,czech_republic_Boreal,5146.729726593606,Boreal
ns,NA,NA,176.4,177.8,174.7,ns,0.09366,ns,NA,NA,64.8,64.94,64.61,ns,0.1353,-,-0.01195,25.53,1.569,1.642,1.491,-,0.01097,-,-1203,2725000,6336000,3417000,2918000,-,0.5724,ns,NA,NA,4038000,2081000,1957000,ns,0.01041,-,-0.006265,13.46,0.8913,0.9437,0.8357,-,0.01569,ns,NA,NA,1.955,1.956,1.954,-,0.005906,-,-0.002429,5.351,0.4863,0.513,0.4579,-,0.01702,-,-0.001466,3.488,0.5434,0.555,0.531,-,0.01097,ns,NA,NA,15.21,14.55,14.49,ns,0.01041,-,-0.001609,3.671,0.4407,0.4519,0.4288,-,0.01569,-,-330.6,771800,2194000,1155000,1039000,ns,0.3434,ns,NA,NA,0.9611,0.9616,0.9605,-,0.005906,-,-0.001164,2.673,0.3382,0.3469,0.329,-,0.01702,democratic_republic_of_the_congo_Equatorial,7.6089921399918685,Equatorial
+,0.534,-863.3,206.3,204.9,207.8,ns,0.2393,-,-0.3076,656.9,38.63,39.25,37.83,ns,0.2185,ns,NA,NA,1.779,1.803,1.753,-,0.006051,-,-147,331900,714600,383700,330900,ns,0.3018,ns,NA,NA,401600,212900,188700,ns,0.03122,ns,NA,NA,0.9891,1.012,0.963,-,0.00558,+,0.002292,-2.223,2.334,2.31,2.361,ns,9.983e-4,ns,NA,NA,0.5162,0.5365,0.4932,-,0.00685,ns,NA,NA,0.6386,0.6419,0.6349,-,0.006051,ns,NA,NA,12.9,12.27,12.15,ns,0.03122,ns,NA,NA,0.499,0.5039,0.4935,-,0.00558,-,-40.52,94160,256400,136600,119800,ns,0.1353,ns,NA,NA,1.059,1.053,1.064,ns,9.983e-4,ns,NA,NA,0.3605,0.3661,0.3541,-,0.00685,democratic_republic_of_the_congo_Temperate,67.46325041107882,Temperate
NA,NA,NA,195.3,193.7,208,NA,NA,NA,NA,NA,35.38,35.91,28.36,NA,NA,NA,NA,NA,1.466,1.533,1.088,NA,NA,NA,NA,NA,252.1,223.8,28.3,NA,NA,NA,NA,NA,172,146,26,NA,NA,NA,NA,NA,1.34,1.406,0.9742,NA,NA,NA,NA,NA,3.988,4.116,3.269,NA,NA,NA,NA,NA,0.5654,0.5783,0.4927,NA,NA,NA,NA,NA,0.5905,0.613,0.4637,NA,NA,NA,NA,NA,5.153,4.99,3.296,NA,NA,NA,NA,NA,0.6437,0.6582,0.5621,NA,NA,NA,NA,NA,101.6,89.5,12.06,NA,NA,NA,NA,NA,1.275,1.299,1.139,NA,NA,NA,NA,NA,0.4187,0.424,0.3891,NA,NA,denmark_Temperate,3474.710143966124,Temperate
NA,NA,NA,207.2,206.8,212.5,NA,NA,NA,NA,NA,12.97,12.28,19.91,NA,NA,NA,NA,NA,1.306,1.342,0.9532,NA,NA,NA,NA,NA,265.1,247,18.11,NA,NA,NA,NA,NA,203,184,19,NA,NA,NA,NA,NA,1.225,1.24,1.073,NA,NA,NA,NA,NA,4.099,4.201,3.105,NA,NA,NA,NA,NA,0.6123,0.6101,0.6342,NA,NA,NA,NA,NA,0.6017,0.6096,0.5254,NA,NA,NA,NA,NA,5.318,5.22,2.996,NA,NA,NA,NA,NA,0.6725,0.6769,0.6303,NA,NA,NA,NA,NA,122.2,112.2,9.982,NA,NA,NA,NA,NA,1.306,1.321,1.163,NA,NA,NA,NA,NA,0.4476,0.4452,0.4716,NA,NA,denmark_Boreal,3303.630047833268,Boreal
NA,NA,NA,155.8,163.9,154,NA,NA,NA,NA,NA,34.32,16.54,37.32,NA,NA,NA,NA,NA,0.863,0.494,1.035,NA,NA,NA,NA,NA,18.99,3.458,15.53,NA,NA,NA,NA,NA,22,7,15,NA,NA,NA,NA,NA,0.6049,0.3987,0.7012,NA,NA,NA,NA,NA,1.773,1.714,1.8,NA,NA,NA,NA,NA,0.4768,0.2607,0.5777,NA,NA,NA,NA,NA,0.5354,0.3734,0.611,NA,NA,NA,NA,NA,3.135,2.079,2.773,NA,NA,NA,NA,NA,0.4368,0.3173,0.4925,NA,NA,NA,NA,NA,11.78,2.614,9.166,NA,NA,NA,NA,NA,0.9476,0.9491,0.9469,NA,NA,NA,NA,NA,0.3613,0.2298,0.4227,NA,NA,djibouti_Arid,23606.18381263478,Arid
ns,NA,NA,257.8,258.5,256.2,ns,0.09335,-,-0.7152,1459,26.97,28.86,21.83,-,0.5099,ns,NA,NA,1.065,1.089,1.012,ns,0.03444,-,-7.144,14470,2049,1439,610.5,ns,0.281,-,-5.144,10450,1925,1322,603,ns,0.2602,ns,NA,NA,0.5461,0.5578,0.5204,ns,0.01858,ns,NA,NA,3.214,3.169,3.31,ns,0.01846,-,-0.00173,3.767,0.303,0.3057,0.2969,ns,0.007461,ns,NA,NA,0.5373,0.5342,0.544,ns,0.03444,-,-0.06043,126,7.563,7.188,6.404,ns,0.2602,ns,NA,NA,0.3752,0.376,0.3735,ns,0.01858,-,-2.617,5308,1034,706.2,328,ns,0.2185,ns,NA,NA,1.202,1.193,1.22,ns,0.01846,-,-7.099e-4,1.679,0.2518,0.2525,0.2504,ns,0.007461,east_timor_Equatorial,151.3382625665393,Equatorial
NA,NA,NA,285.6,274.9,286,NA,NA,NA,NA,NA,12.92,34.18,11.85,NA,NA,NA,NA,NA,1.352,0.647,1.412,NA,NA,NA,NA,NA,68.94,2.588,66.35,NA,NA,NA,NA,NA,51,4,47,NA,NA,NA,NA,NA,0.5977,0.483,0.6074,NA,NA,NA,NA,NA,3.412,2.25,3.511,NA,NA,NA,NA,NA,0.3025,0.2415,0.3077,NA,NA,NA,NA,NA,0.5624,0.4165,0.5748,NA,NA,NA,NA,NA,3.951,1.609,3.871,NA,NA,NA,NA,NA,0.3821,0.3528,0.3846,NA,NA,NA,NA,NA,28.68,1.666,27.02,NA,NA,NA,NA,NA,1.16,1.006,1.173,NA,NA,NA,NA,NA,0.2527,0.21560000000000001,0.2559,NA,NA,east_timor_Temperate,4499.3655547252,Temperate
ns,NA,NA,254.2,260.4,249.1,ns,0.04668,+,0.6033,-1194,30.02,36.99,21.41,ns,0.177,ns,NA,NA,1.51,1.245,1.833,ns,0.02848,ns,NA,NA,1081,489.2,592.1,ns,0.2602,ns,NA,NA,716,393,323,ns,0.1874,ns,NA,NA,0.733,0.7008,0.7722,ns,0.02624,+,0.0664,-130.3,3.501,3.242,3.817,ns,0.02161,ns,NA,NA,0.3222,0.3158,0.3301,ns,0.007781,ns,NA,NA,0.5926,0.5697,0.6205,ns,0.02848,ns,NA,NA,6.575,5.976,5.781,ns,0.1874,ns,NA,NA,0.4249,0.4194,0.4316,ns,0.02624,ns,NA,NA,424.3,223.9,200.4,ns,0.1769,+,0.01808,-35.2,1.227,1.198,1.263,ns,0.02161,ns,NA,NA,0.2617,0.2593,0.2646,ns,0.007781,ecuador_Temperate,4882.053665029433,Temperate
ns,NA,NA,249.2,247.7,250.5,ns,0.09335,ns,NA,NA,29.44,34.14,24.7,ns,0.2499,ns,NA,NA,1.242,1.197,1.284,ns,0.01814,ns,NA,NA,477,220.2,256.8,ns,0.1561,ns,NA,NA,384,184,200,ns,0.2085,ns,NA,NA,0.6188,0.5915,0.644,ns,0.04248,ns,NA,NA,3.453,3.304,3.59,ns,0.06555,ns,NA,NA,0.3009,0.3221,0.2815,ns,0.0861,ns,NA,NA,0.571,0.5654,0.5761,ns,0.01814,ns,NA,NA,5.953,5.22,5.303,ns,0.2085,ns,NA,NA,0.4062,0.4022,0.4098,ns,0.04248,ns,NA,NA,219.3,104,115.2,ns,0.1353,ns,NA,NA,1.219,1.181,1.254,ns,0.06555,ns,NA,NA,0.2527,0.267,0.2394,ns,0.0861,ecuador_Polar,11068.581107371354,Polar
ns,NA,NA,304.9,304.1,305.9,ns,0.09366,ns,NA,NA,56.19,58,53.69,ns,0.2185,ns,NA,NA,0.9339,0.9194,0.954,ns,0.013,ns,NA,NA,2720,1555,1165,ns,0.03122,ns,NA,NA,2912,1691,1221,ns,0.1249,ns,NA,NA,0.5234,0.5172,0.532,ns,0.00678,ns,NA,NA,2.612,2.556,2.69,ns,0.02998,ns,NA,NA,0.2945,0.2949,0.294,ns,0.01181,+,0.001864,-3.322,0.4402,0.4372,0.4444,ns,0.013,ns,NA,NA,7.977,7.434,7.108,ns,0.1249,+,7.749e-4,-1.226,0.3411,0.341,0.3413,ns,0.00678,ns,NA,NA,1282,739.4,542.6,ns,0.1145,+,0.004881,-8.763,1.06,1.049,1.076,ns,0.02998,+,8.892e-4,-1.539,0.2452,0.2457,0.2444,ns,0.01181,ecuador_Equatorial,1941.241103763568,Equatorial
ns,NA,NA,319.9,319.9,319.9,ns,0.07001,ns,NA,NA,45.73,61.4,35.62,ns,0.1977,ns,NA,NA,2.475,1.591,3.415,ns,0.0132,ns,NA,NA,485.1,160.7,324.4,ns,0.1561,ns,NA,NA,196,101,95,ns,0.1046,ns,NA,NA,0.9999,0.882,1.125,ns,6.841e-4,ns,NA,NA,3.403,3.416,3.389,ns,0.01577,ns,NA,NA,0.4142,0.4066,0.4223,ns,0.02076,ns,NA,NA,0.6181,0.6138,0.6227,ns,0.0132,ns,NA,NA,5.283,4.625,4.564,ns,0.1046,ns,NA,NA,0.4638,0.461,0.4667,ns,6.841e-4,ns,NA,NA,121.1,61.99,59.15,ns,0.07285,ns,NA,NA,1.175,1.184,1.165,ns,0.01577,ns,NA,NA,0.2994,0.2985,0.3004,ns,0.02076,ecuador_Arid,10883.547994419436,Arid
-,-1.119,2509,248.4,260.5,239.4,-,0.4891,+,1.197,-2384,37.64,18.28,45.06,ns,0.3642,ns,NA,NA,1.637,1.593,1.671,ns,0.01419,ns,NA,NA,7767,3308,4458,ns,0.1977,ns,NA,NA,4745,2077,2668,ns,0.1769,+,0.01001,-19.65,0.543,0.4947,0.5805,+,0.03992,-,-0.06386,131.9,3.541,3.781,3.355,ns,0.01422,+,0.003935,-7.663,0.2869,0.2584,0.3091,+,0.07447,ns,NA,NA,0.5271,0.5181,0.5342,ns,0.01419,ns,NA,NA,8.465,7.639,7.889,ns,0.1769,ns,NA,NA,0.3437,0.3265,0.3571,+,0.03992,ns,NA,NA,2501,1076,1425,ns,0.1977,-,-0.005503,12.25,1.192,1.212,1.176,ns,0.01422,+,0.002058,-3.922,0.2356,0.2195,0.2482,+,0.07447,egypt_Arid,2668.2986584585597,Arid
ns,NA,NA,111.8,124.9,106.8,ns,0.07285,-,-1.879,3897,109.2,124.1,102.5,ns,0.3018,+,0.01761,-34.36,1.228,0.9943,1.35,+,0.05424,+,5.102,-10190,1988,552.8,1435,+,0.6348,+,5.5,-11000,1619,556,1063,+,0.6143,+,0.03677,-71.85,2.437,2.039,2.645,+,0.06433,ns,NA,NA,3.858,3.737,3.921,ns,0.04421,+,0.009342,-17.6,1.233,1.125,1.29,+,0.07428,+,0.005982,-11.42,0.6178,0.5598,0.6482,+,0.05424,+,0.07068,-138.2,7.39,6.323,6.97,+,0.6143,+,0.006214,-11.47,1.033,0.9724,1.065,+,0.06433,+,3.049,-6092,1000,311.3,689,+,0.614,+,0.008869,-16.52,1.333,1.3,1.351,ns,0.04421,+,0.002795,-4.922,0.74,0.7039,0.7588,+,0.07428,el_salvador_Equatorial,210.0711238204288,Equatorial
NA,NA,NA,142.5,119.3,172.7,NA,NA,NA,NA,NA,92.19,81.22,125.7,NA,NA,NA,NA,NA,0.6194,0.6992,0.5397,NA,NA,NA,NA,NA,4.955,2.797,2.159,NA,NA,NA,NA,NA,8,4,4,NA,NA,NA,NA,NA,2.254,2.308,2.2,NA,NA,NA,NA,NA,2.25,2.5,2,NA,NA,NA,NA,NA,1.344,1.311,1.377,NA,NA,NA,NA,NA,0.4336,0.4558,0.4114,NA,NA,NA,NA,NA,2.197,1.609,1.609,NA,NA,NA,NA,NA,1.038,1.056,1.02,NA,NA,NA,NA,NA,3.469,1.823,1.646,NA,NA,NA,NA,NA,1.04,1.04,1.04,NA,NA,NA,NA,NA,0.8103,0.8099,0.8106,NA,NA,el_salvador_Temperate,84286.68220499236,Temperate
NA,NA,NA,108.9,148.6,93.32,NA,NA,NA,NA,NA,84.49,126.9,75.64,NA,NA,NA,NA,NA,0.2884,0.2164,0.3316,NA,NA,NA,NA,NA,6.922,1.948,4.974,NA,NA,NA,NA,NA,24,9,15,NA,NA,NA,NA,NA,0.2862,0.2385,0.3148,NA,NA,NA,NA,NA,1.083,1,1.133,NA,NA,NA,NA,NA,0.2832,0.2385,0.3101,NA,NA,NA,NA,NA,0.2464,0.1924,0.2789,NA,NA,NA,NA,NA,3.219,2.303,2.773,NA,NA,NA,NA,NA,0.2461,0.2125,0.2662,NA,NA,NA,NA,NA,5.914,1.731,4.183,NA,NA,NA,NA,NA,0.722,0.6931,0.7394,NA,NA,NA,NA,NA,0.2436,0.2125,0.2622,NA,NA,equatorial_guinea_Equatorial,79479.61037896237,Equatorial
-,-2.898,6002,191.7,210.8,151.1,ns,0.3226,ns,NA,NA,130,128.8,123.2,ns,0.07285,-,-0.1066,217.9,3.878,4.126,3.437,ns,0.007918,-,-11.24,22790,8469,5760,2708,ns,0.3226,ns,NA,NA,2184,1396,788,ns,0.1354,-,-0.04141,85.67,3.302,3.701,2.596,ns,0.04412,ns,NA,NA,2.641,2.679,2.574,ns,0.02328,-,-0.01923,39.74,1.365,1.48,1.161,ns,0.04325,-,-0.009161,19.37,0.9336,0.9468,0.9103,ns,0.007918,ns,NA,NA,7.689,7.242,6.671,ns,0.1354,ns,NA,NA,0.877,0.8923,0.8499,ns,0.04412,ns,NA,NA,2039,1322,717.3,ns,0.281,ns,NA,NA,1.139,1.139,1.138,ns,0.02328,ns,NA,NA,0.6254,0.6366,0.6056,ns,0.04325,eritrea_Arid,301.57099831797893,Arid
ns,NA,NA,249.2,261.8,202.9,ns,0.09335,ns,NA,NA,119.7,112,134.8,ns,0.2707,ns,NA,NA,4.337,4.399,4.125,ns,0.00619,-,-1.436,2908,1306,1025,280.5,ns,0.3018,-,-0.5,1010,301,233,68,ns,0.45,ns,NA,NA,2.597,2.723,2.162,ns,0.04164,ns,NA,NA,2.724,2.648,2.985,ns,0.05614,ns,NA,NA,1.197,1.241,1.048,ns,0.03569,ns,NA,NA,1.142,1.133,1.173,ns,0.00619,-,-0.05792,118.7,5.71,5.455,4.234,ns,0.45,ns,NA,NA,0.9285,0.9438,0.8762,ns,0.04164,-,-0.5508,1115,343.7,263.9,79.76,ns,0.3226,ns,NA,NA,1.191,1.172,1.256,ns,0.05614,ns,NA,NA,0.6457,0.6569,0.6075,ns,0.03569,eritrea_Equatorial,1956.148014109133,Equatorial
+,5.131,-10170,138.6,132.2,169.3,ns,0.4102,+,1.856,-3712,57.2,52.83,67.72,ns,0.2419,ns,NA,NA,0.9283,1.007,0.6731,ns,0.03538,ns,NA,NA,176.4,146.1,30.29,ns,0.09371,ns,NA,NA,190,145,45,ns,0.09494,ns,NA,NA,1.496,1.642,1.026,ns,0.1308,ns,NA,NA,2.621,2.676,2.444,ns,0.05685,ns,NA,NA,0.7425,0.7996,0.5588,-,0.1954,ns,NA,NA,0.4844,0.5113,0.3977,ns,0.03538,ns,NA,NA,5.252,4.984,3.829,ns,0.09494,ns,NA,NA,0.6835,0.7188,0.5699,ns,0.1308,ns,NA,NA,92.04,74.14,17.9,ns,0.05206,ns,NA,NA,1.062,1.064,1.054,ns,0.05685,ns,NA,NA,0.5034,0.527,0.4273,-,0.1954,estonia_Boreal,5321.507661085765,Boreal
ns,NA,NA,219.9,221.1,218.1,ns,0.09366,ns,NA,NA,38.15,37.55,38.93,ns,0.1353,-,-0.009417,20.19,1.193,1.264,1.104,-,0.0404,-,-30.32,61580,14470,8537,5932,ns,0.3226,ns,NA,NA,12130,6754,5375,ns,0.1561,-,-0.004376,9.655,0.8371,0.8809,0.782,-,0.03136,-,-0.01571,33.7,2.08,2.093,2.064,-,0.02277,-,-0.001994,4.514,0.4875,0.5087,0.4609,-,0.03143,-,-0.003169,6.925,0.5526,0.5674,0.5341,-,0.0404,ns,NA,NA,9.403,8.818,8.59,ns,0.1561,ns,NA,NA,0.4649,0.4769,0.4498,-,0.03136,-,-10.48,21420,6703,3832,2871,ns,0.3018,-,-0.002697,6.454,1.015,1.017,1.012,-,0.02277,-,-7.141e-4,1.796,0.3512,0.3605,0.3396,-,0.03143,eswatini_Temperate,24.251145079623623,Temperate
ns,NA,NA,224.6,228,221.7,ns,0.09366,ns,NA,NA,51.64,49.61,53.24,ns,0.01041,ns,NA,NA,0.7208,0.7453,0.7001,ns,2.566e-4,+,1.7,-3344,1647,778.9,868.2,ns,0.3226,+,5.2,-10330,2285,1045,1240,ns,0.3642,ns,NA,NA,0.4939,0.5269,0.4662,ns,0.01496,ns,NA,NA,1.771,1.761,1.779,ns,0.001703,ns,NA,NA,0.3505,0.3647,0.3385,ns,0.03175,ns,NA,NA,0.4118,0.4266,0.3992,ns,2.566e-4,+,0.04126,-78.22,7.735,6.953,7.124,ns,0.3642,ns,NA,NA,0.3332,0.3494,0.3196,ns,0.01496,+,1.713,-3387,940.9,445.8,495,ns,0.3226,ns,NA,NA,0.9327,0.9316,0.9337,ns,0.001703,-,-0.001208,2.709,0.2757,0.2849,0.268,ns,0.03175,eswatini_Arid,213.0291851089747,Arid
