trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
+,0.3767,-542,215,215.5,214.5,ns,0.05203,+,0.1339,-231.8,37.85,36.94,38.92,+,0.5515,-,-0.03705,76.82,2.334,2.527,2.135,-,0.01082,-,-864,1863000,2495000,1368000,1127000,ns,0.3018,+,329.2,-610800,1069000,541400,527700,-,0.5099,-,-0.01405,29.45,1.218,1.301,1.132,-,0.0124,-,-0.004146,10.79,2.428,2.425,2.431,+,0.009316,-,-0.004599,9.841,0.6041,0.6386,0.5686,-,0.01226,-,-0.002653,6.056,0.7206,0.7323,0.7086,-,0.01082,+,0.006305,-1.835,13.88,13.2,13.18,-,0.5099,-,-0.002456,5.504,0.5615,0.5731,0.5497,-,0.0124,ns,NA,NA,770400,396500,373900,ns,0.2602,ns,NA,NA,1.09,1.088,1.092,+,0.009316,-,-0.001547,3.509,0.3989,0.4081,0.3895,-,0.01226,angola_Temperate,10.340839431347842,Temperate
ns,NA,NA,190.1,191.5,188.5,ns,0.1561,ns,NA,NA,33.98,33.66,34.28,ns,0.01041,-,-0.02193,46.68,2.57,2.703,2.431,-,0.01282,-,-829.5,1859000,3936000,2121000,1815000,-,0.5099,+,181.6,-290800,1531000,784600,746800,ns,0.385,-,-0.01036,22.11,1.295,1.366,1.221,-,0.01403,ns,NA,NA,2.229,2.221,2.237,+,0.01058,-,-0.002866,6.366,0.6218,0.6587,0.5831,-,0.01385,-,-0.001825,4.34,0.6677,0.6774,0.6575,-,0.01282,+,0.002452,6.285,14.24,13.57,13.52,ns,0.385,-,-0.001795,4.148,0.5364,0.5463,0.526,-,0.01403,ns,NA,NA,1023000,531500,491000,ns,0.2393,ns,NA,NA,1.027,1.025,1.029,+,0.01058,-,-8.877e-4,2.176,0.391,0.3997,0.3819,-,0.01385,angola_Equatorial,6.555017327028484,Equatorial
+,1.676,-3173,200.8,200.1,201.9,ns,0.01041,ns,NA,NA,85.92,86.95,84.31,ns,0.03122,+,0.02231,-43.55,1.315,1.263,1.404,+,0.01613,-,-1103,2243000,512900,310800,202100,-,0.4891,-,-853.9,1734000,390000,246000,143900,-,0.5307,+,0.01021,-19.8,0.7148,0.6916,0.7546,+,0.0159,+,0.007558,-12.23,2.93,2.909,2.968,+,0.01302,+,0.001614,-2.906,0.3458,0.3434,0.3499,+,0.01209,+,0.003575,-6.637,0.5385,0.5333,0.5474,+,0.01613,-,-0.04514,100.5,12.87,12.41,11.88,-,0.5307,+,0.002411,-4.438,0.4037,0.4004,0.4093,+,0.0159,-,-487.6,990000,210000,131200,78780,-,0.5307,+,0.001952,-2.785,1.131,1.125,1.141,+,0.01302,+,8.629e-4,-1.46,0.2713,0.2705,0.2728,+,0.01209,argentina_Temperate,111.1217931232003,Temperate
-,-2.385,5004,199.4,204,190.8,ns,0.4267,+,1.19,-2281,132.5,130.4,135.8,ns,0.4683,+,0.01864,-35.49,3.623,3.852,3.263,ns,0.003015,ns,NA,NA,318200,206800,111400,ns,0.01041,-,-77.44,159900,87840,53700,34140,ns,0.3434,ns,NA,NA,1.82,1.92,1.663,ns,0.003575,-,-0.009752,22.69,3.083,3.101,3.056,-,0.01041,+,0.005893,-11.41,0.6266,0.647,0.5945,-,0.007281,ns,NA,NA,0.6668,0.6768,0.6511,ns,0.003015,-,-0.01966,47.85,11.38,10.89,10.44,ns,0.3434,ns,NA,NA,0.5162,0.5244,0.5033,ns,0.003575,-,-51.17,105500,58570,36350,22230,ns,0.4059,ns,NA,NA,1.166,1.169,1.161,-,0.01041,ns,NA,NA,0.3394,0.3445,0.3315,-,0.007281,argentina_Arid,179.0961621047972,Arid
+,5.028,-9853,244.1,223.5,265.2,ns,0.3642,ns,NA,NA,120.4,132.3,102.9,ns,0.1977,ns,NA,NA,0.7281,0.7573,0.7005,-,0.05463,ns,NA,NA,1535,775.4,760.1,ns,0.2185,ns,NA,NA,2109,1024,1085,ns,0.2393,ns,NA,NA,0.4244,0.4404,0.4093,ns,0.009673,ns,NA,NA,2.529,2.557,2.503,ns,0.009179,ns,NA,NA,0.2717,0.2768,0.2669,ns,0.002566,ns,NA,NA,0.4275,0.4388,0.4169,-,0.05463,ns,NA,NA,7.654,6.932,6.99,ns,0.2393,ns,NA,NA,0.3151,0.3228,0.3079,ns,0.009673,ns,NA,NA,901.7,449.4,452.3,ns,0.1977,ns,NA,NA,1.071,1.077,1.066,ns,0.009179,ns,NA,NA,0.2322,0.2358,0.2289,ns,0.002566,argentina_Polar,37119.13659523739,Polar
+,4.573,-9048,165.5,158.8,175.6,ns,0.1145,ns,NA,NA,90.56,92.43,86.82,ns,0.1769,ns,NA,NA,1.207,1.151,1.301,ns,0.005737,ns,NA,NA,1513,904.5,608.6,ns,0.1977,-,-3.312,6707,1254,786,468,ns,0.3018,ns,NA,NA,0.6313,0.6123,0.6632,ns,0.01192,-,-0.03894,81.41,2.988,3.099,2.801,ns,0.02167,ns,NA,NA,0.3176,0.3123,0.3264,ns,0.007418,ns,NA,NA,0.5036,0.5043,0.5024,ns,0.005737,-,-0.06726,139.1,7.135,6.668,6.151,ns,0.3018,ns,NA,NA,0.381,0.3809,0.381,ns,0.01192,-,-2.025,4100,631.5,396.4,235.1,ns,0.3018,-,-0.006331,13.84,1.137,1.149,1.116,ns,0.02167,ns,NA,NA,0.2584,0.2554,0.2633,ns,0.007418,argentina_Equatorial,37666.06090620364,Equatorial
ns,NA,NA,197.2,199.4,194.8,ns,0.2393,-,-2.873,5845,109.4,103.3,115.4,ns,0.1769,ns,NA,NA,0.914,0.8175,1.042,ns,0.004805,+,0.5988,-1141,1176,600,576.3,ns,0.05203,ns,NA,NA,1287,734,553,ns,0.04165,+,0.005541,-10.72,0.5763,0.489,0.6921,ns,0.01049,ns,NA,NA,2.536,2.477,2.615,ns,0.01862,ns,NA,NA,0.3166,0.3073,0.3289,ns,0.03958,ns,NA,NA,0.4545,0.4478,0.4634,ns,0.004805,+,0.03134,-59.31,7.161,6.6,6.317,ns,0.04165,+,0.00245,-4.613,0.3395,0.3358,0.3444,ns,0.01049,ns,NA,NA,585,328.7,256.3,ns,0.03122,+,0.007404,-13.78,1.077,1.061,1.099,ns,0.01862,ns,NA,NA,0.2514,0.2517,0.251,ns,0.03958,argentina_Boreal,48452.8589616297,Boreal
ns,NA,NA,177.2,182.3,171.7,ns,0.4475,+,0.7935,-1540,79.3,81.36,76.84,ns,0.385,ns,NA,NA,1.82,1.667,2.016,ns,0.009784,ns,NA,NA,475,245.1,229.9,ns,0.1769,ns,NA,NA,261,147,114,ns,0.1876,ns,NA,NA,1.587,1.554,1.631,ns,0.06194,-,-0.119,242.9,3.747,4.068,3.333,ns,0.1091,+,0.00823,-16.02,0.6415,0.5929,0.7042,ns,0.02835,ns,NA,NA,0.7196,0.7063,0.7369,ns,0.009784,ns,NA,NA,5.568,4.997,4.745,ns,0.1876,ns,NA,NA,0.7021,0.7083,0.6941,ns,0.06194,ns,NA,NA,187.8,103.8,84,ns,0.05203,-,-0.02351,48.68,1.356,1.419,1.274,ns,0.1091,ns,NA,NA,0.4277,0.4148,0.4445,ns,0.02835,armenia_Arid,1284.972145970243,Arid
ns,NA,NA,278.5,285.7,266.1,ns,0.05203,ns,NA,NA,55.19,52.71,57.18,ns,0.2393,+,0.02105,-41.18,1.763,1.948,1.516,ns,0.04537,ns,NA,NA,2077,1313,764,ns,0.1145,ns,NA,NA,1178,674,504,ns,0.1666,ns,NA,NA,1.078,1.183,0.937,ns,0.04085,ns,NA,NA,3.327,3.427,3.192,ns,0.03139,ns,NA,NA,0.4521,0.4826,0.4112,ns,0.04928,+,0.006108,-11.6,0.6554,0.687,0.6133,ns,0.04537,ns,NA,NA,7.072,6.515,6.225,ns,0.1666,+,0.003172,-5.953,0.5114,0.5316,0.4844,ns,0.04085,ns,NA,NA,772.1,463,309.1,ns,0.1561,+,0.007549,-14.05,1.222,1.239,1.199,ns,0.03139,+,0.001336,-2.405,0.3279,0.3402,0.3115,ns,0.04928,armenia_Boreal,293.9068632640828,Boreal
NA,NA,NA,213.9,197.2,218.5,NA,NA,NA,NA,NA,57.4,23.33,64.79,NA,NA,NA,NA,NA,0.4195,0.2524,0.5106,NA,NA,NA,NA,NA,7.131,1.515,5.616,NA,NA,NA,NA,NA,17,6,11,NA,NA,NA,NA,NA,0.3536,0.2504,0.4098,NA,NA,NA,NA,NA,1.529,1,1.818,NA,NA,NA,NA,NA,0.3249,0.2504,0.3656,NA,NA,NA,NA,NA,0.3339,0.2232,0.3942,NA,NA,NA,NA,NA,2.89,1.946,2.485,NA,NA,NA,NA,NA,0.2891,0.2216,0.326,NA,NA,NA,NA,NA,5.676,1.339,4.337,NA,NA,NA,NA,NA,0.8632,0.6931,0.9559,NA,NA,NA,NA,NA,0.2668,0.2216,0.2914,NA,NA,armenia_Polar,85589.21345542818,Polar
