name_lwr,kg,n_pix
republic_of_macedonia,Temperate,3
republic_of_the_congo,Equatorial,110
romania,Arid,9
romania,Boreal,88
romania,Temperate,12
russia,Arid,276
russia,Boreal,10258
russia,Polar,1175
russia,Temperate,13
rwanda,Equatorial,9
rwanda,Temperate,1
saint_vincent_and_the_grenadines,Equatorial,1
samoa,Equatorial,1
saudi_arabia,Arid,683
senegal,Arid,49
senegal,Equatorial,18
serbia,Boreal,10
serbia,Temperate,21
siachen_glacier,Polar,1
sierra_leone,Equatorial,24
slovakia,Boreal,24
slovakia,Temperate,1
slovenia,Boreal,5
slovenia,Temperate,5
solomon_islands,Equatorial,10
somalia,Arid,152
somalia,Equatorial,2
somaliland,Arid,58
south_africa,Arid,333
south_africa,Equatorial,2
south_africa,Temperate,112
south_georgia_and_the_south_sandwich_islands,Polar,2
south_korea,Boreal,29
south_korea,Temperate,11
south_sudan,Arid,7
south_sudan,Equatorial,194
spain,Arid,104
spain,Temperate,109
sri_lanka,Equatorial,22
sudan,Arid,594
sudan,Equatorial,35
suriname,Equatorial,49
sweden,Boreal,296
sweden,Polar,4
sweden,Temperate,10
switzerland,Boreal,6
switzerland,Polar,4
switzerland,Temperate,7
syria,Arid,61
syria,Temperate,12
taiwan,Equatorial,2
taiwan,Temperate,11
tajikistan,Arid,16
tajikistan,Boreal,12
tajikistan,Polar,27
tajikistan,Temperate,2
tanzania,Arid,53
tanzania,Equatorial,229
tanzania,Temperate,24
thailand,Equatorial,173
the_bahamas,Equatorial,3
togo,Equatorial,18
trinidad_and_tobago,Equatorial,2
tunisia,Arid,55
tunisia,Temperate,6
turkey,Arid,85
turkey,Boreal,116
turkey,Temperate,124
turkish_republic_of_northern_cyprus,Arid,1
turkish_republic_of_northern_cyprus,Temperate,1
turkmenistan,Arid,193
turkmenistan,Temperate,2
uganda,Arid,1
uganda,Equatorial,78
uganda,Temperate,2
ukraine,Arid,43
ukraine,Boreal,246
united_arab_emirates,Arid,23
united_kingdom,Temperate,133
united_states_virgin_islands,Equatorial,1
uruguay,Temperate,70
uzbekistan,Arid,173
uzbekistan,Boreal,8
uzbekistan,Temperate,13
vanuatu,Equatorial,3
venezuela,Arid,6
venezuela,Equatorial,280
venezuela,Polar,1
venezuela,Temperate,5
vietnam,Equatorial,59
vietnam,Temperate,54
western_sahara,Arid,32
yemen,Arid,155
zambia,Arid,16
zambia,Equatorial,90
zambia,Temperate,143
zimbabwe,Arid,95
zimbabwe,Temperate,40
åland_islands,Boreal,1
