name_lwr,kg,wcbio,value
albania,Boreal,wc2.1_2.5m_bio_10,19.798666954040527
albania,Boreal,wc2.1_2.5m_bio_11,2.6319999992847443
albania,Boreal,wc2.1_2.5m_bio_12,1049.5
albania,Boreal,wc2.1_2.5m_bio_13,136.5
albania,Boreal,wc2.1_2.5m_bio_14,46
albania,Boreal,wc2.1_2.5m_bio_15,32.0303897857666
albania,Boreal,wc2.1_2.5m_bio_16,365.5
albania,Boreal,wc2.1_2.5m_bio_17,149.5
albania,Boreal,wc2.1_2.5m_bio_18,149.5
albania,Boreal,wc2.1_2.5m_bio_19,324.5
albania,Boreal,wc2.1_2.5m_bio_2,10.29966688156128
albania,Boreal,wc2.1_2.5m_bio_3,34.81819534301758
albania,Boreal,wc2.1_2.5m_bio_4,700.9258117675781
albania,Boreal,wc2.1_2.5m_bio_5,27.219999313354492
albania,Boreal,wc2.1_2.5m_bio_6,-2.342000037431717
albania,Boreal,wc2.1_2.5m_bio_7,29.561999320983887
albania,Boreal,wc2.1_2.5m_bio_8,4.057666778564453
albania,Boreal,wc2.1_2.5m_bio_9,19.798666954040527
albania,Temperate,wc2.1_2.5m_bio_1,12.505683326721192
albania,Temperate,wc2.1_2.5m_bio_10,20.84419994354248
albania,Temperate,wc2.1_2.5m_bio_11,4.689466738700867
albania,Temperate,wc2.1_2.5m_bio_12,1120.2
albania,Temperate,wc2.1_2.5m_bio_13,157.1
albania,Temperate,wc2.1_2.5m_bio_14,36.7
albania,Temperate,wc2.1_2.5m_bio_15,41.587038230896
albania,Temperate,wc2.1_2.5m_bio_16,428.8
albania,Temperate,wc2.1_2.5m_bio_17,126.5
albania,Temperate,wc2.1_2.5m_bio_18,126.5
albania,Temperate,wc2.1_2.5m_bio_19,368.1
albania,Temperate,wc2.1_2.5m_bio_2,10.364500045776367
albania,Temperate,wc2.1_2.5m_bio_3,36.061638259887694
albania,Temperate,wc2.1_2.5m_bio_4,664.986376953125
albania,Temperate,wc2.1_2.5m_bio_5,28.234800148010255
albania,Temperate,wc2.1_2.5m_bio_6,-0.5156000077724456
albania,Temperate,wc2.1_2.5m_bio_7,28.750400161743165
albania,Temperate,wc2.1_2.5m_bio_8,7.396466636657715
albania,Temperate,wc2.1_2.5m_bio_9,20.84419994354248
algeria,Arid,wc2.1_2.5m_bio_1,23.38617307176957
algeria,Arid,wc2.1_2.5m_bio_10,33.09845517002619
algeria,Arid,wc2.1_2.5m_bio_11,13.327902247412847
algeria,Arid,wc2.1_2.5m_bio_12,61.515625
algeria,Arid,wc2.1_2.5m_bio_13,10.271634615384615
algeria,Arid,wc2.1_2.5m_bio_14,0.9459134615384616
algeria,Arid,wc2.1_2.5m_bio_15,53.73010976039446
algeria,Arid,wc2.1_2.5m_bio_16,24.989182692307693
algeria,Arid,wc2.1_2.5m_bio_17,5.527644230769231
algeria,Arid,wc2.1_2.5m_bio_18,8.481971153846153
algeria,Arid,wc2.1_2.5m_bio_19,17.59375
algeria,Arid,wc2.1_2.5m_bio_2,14.407477555366663
algeria,Arid,wc2.1_2.5m_bio_3,39.62625723618727
algeria,Arid,wc2.1_2.5m_bio_4,805.1571889290443
algeria,Arid,wc2.1_2.5m_bio_5,41.60993750049518
algeria,Arid,wc2.1_2.5m_bio_6,5.152346160323829
algeria,Arid,wc2.1_2.5m_bio_7,36.45759140986662
algeria,Arid,wc2.1_2.5m_bio_8,21.00710177192321
algeria,Arid,wc2.1_2.5m_bio_9,28.28592383517669
algeria,Temperate,wc2.1_2.5m_bio_1,16.840506296891434
algeria,Temperate,wc2.1_2.5m_bio_10,25.000281920799843
algeria,Temperate,wc2.1_2.5m_bio_11,9.752615433472853
algeria,Temperate,wc2.1_2.5m_bio_12,636.4230769230769
algeria,Temperate,wc2.1_2.5m_bio_13,103.34615384615384
algeria,Temperate,wc2.1_2.5m_bio_14,3.6153846153846154
algeria,Temperate,wc2.1_2.5m_bio_15,62.13979545006385
algeria,Temperate,wc2.1_2.5m_bio_16,283.84615384615387
algeria,Temperate,wc2.1_2.5m_bio_17,28.423076923076923
algeria,Temperate,wc2.1_2.5m_bio_18,38.73076923076923
algeria,Temperate,wc2.1_2.5m_bio_19,276.5
algeria,Temperate,wc2.1_2.5m_bio_2,11.407628242786114
algeria,Temperate,wc2.1_2.5m_bio_3,39.776950982900765
algeria,Temperate,wc2.1_2.5m_bio_4,627.6067551832932
algeria,Temperate,wc2.1_2.5m_bio_5,33.053076817439155
algeria,Temperate,wc2.1_2.5m_bio_6,4.360923079343943
algeria,Temperate,wc2.1_2.5m_bio_7,28.692153710585373
algeria,Temperate,wc2.1_2.5m_bio_8,10.448359085963322
algeria,Temperate,wc2.1_2.5m_bio_9,24.74523052802453
angola,Arid,wc2.1_2.5m_bio_1,22.93501091003418
angola,Arid,wc2.1_2.5m_bio_10,25.530829026963975
angola,Arid,wc2.1_2.5m_bio_11,18.973451381259494
angola,Arid,wc2.1_2.5m_bio_12,546.1333333333333
angola,Arid,wc2.1_2.5m_bio_13,142.35555555555555
angola,Arid,wc2.1_2.5m_bio_14,0.05555555555555555
angola,Arid,wc2.1_2.5m_bio_15,113.73569700453017
angola,Arid,wc2.1_2.5m_bio_16,356.1
angola,Arid,wc2.1_2.5m_bio_17,0.9222222222222223
angola,Arid,wc2.1_2.5m_bio_18,193.72222222222223
angola,Arid,wc2.1_2.5m_bio_19,1.5555555555555556
angola,Arid,wc2.1_2.5m_bio_2,13.394412951999241
angola,Arid,wc2.1_2.5m_bio_3,59.67653312683105
angola,Arid,wc2.1_2.5m_bio_4,276.42052883572046
angola,Arid,wc2.1_2.5m_bio_5,32.95388895670573
angola,Arid,wc2.1_2.5m_bio_6,10.315433878368802
angola,Arid,wc2.1_2.5m_bio_7,22.638455073038738
angola,Arid,wc2.1_2.5m_bio_8,24.707984670003256
angola,Arid,wc2.1_2.5m_bio_9,19.202799542744955
angola,Equatorial,wc2.1_2.5m_bio_1,21.791845574226553
angola,Equatorial,wc2.1_2.5m_bio_10,22.94166508330602
angola,Equatorial,wc2.1_2.5m_bio_11,19.823564712315388
angola,Equatorial,wc2.1_2.5m_bio_12,1223.1872146118722
angola,Equatorial,wc2.1_2.5m_bio_13,221.52511415525115
angola,Equatorial,wc2.1_2.5m_bio_14,0.9315068493150684
angola,Equatorial,wc2.1_2.5m_bio_15,84.84804228342831
angola,Equatorial,wc2.1_2.5m_bio_16,574.7762557077625
angola,Equatorial,wc2.1_2.5m_bio_17,9.867579908675799
angola,Equatorial,wc2.1_2.5m_bio_18,367.81278538812785
angola,Equatorial,wc2.1_2.5m_bio_19,19.26027397260274
angola,Equatorial,wc2.1_2.5m_bio_2,12.74868650305761
angola,Equatorial,wc2.1_2.5m_bio_3,66.74139054180824
angola,Equatorial,wc2.1_2.5m_bio_4,136.8197269875165
angola,Equatorial,wc2.1_2.5m_bio_5,30.312273913866854
angola,Equatorial,wc2.1_2.5m_bio_6,11.09019176056396
angola,Equatorial,wc2.1_2.5m_bio_7,19.222082151125555
angola,Equatorial,wc2.1_2.5m_bio_8,22.518276989732158
angola,Equatorial,wc2.1_2.5m_bio_9,19.880213119123624
angola,Temperate,wc2.1_2.5m_bio_1,20.001708366252757
angola,Temperate,wc2.1_2.5m_bio_10,22.153623510290075
angola,Temperate,wc2.1_2.5m_bio_11,16.384456864109747
angola,Temperate,wc2.1_2.5m_bio_12,1012.1851851851852
angola,Temperate,wc2.1_2.5m_bio_13,211.67592592592592
angola,Temperate,wc2.1_2.5m_bio_14,0
angola,Temperate,wc2.1_2.5m_bio_15,100.49703746371799
angola,Temperate,wc2.1_2.5m_bio_16,562.925925925926
angola,Temperate,wc2.1_2.5m_bio_17,1.6759259259259258
angola,Temperate,wc2.1_2.5m_bio_18,289.3611111111111
angola,Temperate,wc2.1_2.5m_bio_19,4.287037037037037
angola,Temperate,wc2.1_2.5m_bio_2,14.551731462831851
angola,Temperate,wc2.1_2.5m_bio_3,60.42831540990759
angola,Temperate,wc2.1_2.5m_bio_4,250.2635875278049
angola,Temperate,wc2.1_2.5m_bio_5,30.482259344171595
angola,Temperate,wc2.1_2.5m_bio_6,6.313000012327124
angola,Temperate,wc2.1_2.5m_bio_7,24.16925926561709
