ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,152.00614571204565,87.8716451549471,1.3616242151728724,7687.730318866038,5646,0.6995226585160981,2.853170386114063,0.3414996467650426,0.5321319774042701,8.638879709672837,0.39579274297441625,3004.4171444245085,1.1137407252381373,0.26992102081855784,00s
2004,115.92294629901104,73.69646612954334,1.719877468376858,8964.001365180184,5212,0.8740380592282897,3.049309286262471,0.3993647962942223,0.6026171284819943,8.558910784768106,0.44759201158178596,3140.8404736481543,1.1656763011059195,0.2971725955859402,00s
2005,166.84513898430228,94.20614403503592,1.2065955094602656,6516.822346594895,5401,0.613969114068503,2.9122384743566005,0.3165099351469706,0.5216924878252068,8.59452453435256,0.3780831131688093,2817.661126743942,1.128911323280613,0.257378022165742,00s
2006,125.44655545536936,96.7349183164571,1.434965725994293,8130.515803483664,5666,0.6939089763675048,3.1101306036004237,0.33037012995969295,0.5531403113685356,8.64241515616962,0.3994660505570836,3134.093004214122,1.154453050904271,0.26441500547823144,00s
2007,168.30507553140106,99.25882526355728,1.2862133718159081,7503.768811174007,5834,0.6355133022243332,2.8949262941378127,0.32128536958933296,0.5152862190063376,8.671629544720656,0.3773921749642518,3006.1798016829734,1.1184393795868037,0.25831745386980587,00s
2008,154.04623713589692,90.70356573820484,1.4657526308652395,7278.92756487678,4966,0.7345770225534312,2.8312525171163916,0.3676975714425372,0.5578540843055826,8.51057131510735,0.41153696893193914,2770.303382661523,1.1249197011037617,0.28342199581857,00s
2009,125.58235652255235,88.51817964593847,1.6201657437552957,15023.796941842857,9273,0.7551596290604647,3.1710341852690607,0.36018369533597405,0.5840870960582772,9.134970064951407,0.42218375327559504,5416.239641748405,1.172728213015047,0.27935868216669396,00s
2010,108.54280314037683,76.87790445912928,2.1465979062484095,15440.47873964481,7193,0.9392995609629682,3.4749061587654664,0.4060909350284995,0.6659554612179299,8.881002624255569,0.4773394967081255,4790.21763254057,1.2295214882837717,0.30418319060577387,00s
2011,141.60062086855842,94.64522224101587,1.5796857464355365,8868.355780489102,5614,0.7158985287014515,3.0749910936943357,0.3439902328449476,0.5606727153622342,8.633196867172543,0.40359597091800803,3147.6166240435823,1.1555810921881282,0.2703005158758064,00s
2012,143.97738059101053,91.14571099364699,1.5678039902063747,13313.791484832533,8492,0.7179640011351686,3.180522845030617,0.346919155146165,0.578134065775108,9.04699757378001,0.4148070627265918,4909.514486562217,1.1775456412173568,0.2739215790977838,10s
2013,162.5539474374967,97.11407244735433,1.6896681957024167,10239.389265956646,6060,0.7809537574533729,3.119141914191419,0.3548403587207316,0.5724851316998453,8.709630081951286,0.4198518198621151,3469.259898101062,1.1642799584968966,0.27478069083711665,10s
2014,158.1482806107527,90.64159162074128,1.7408108386436556,10100.18448581049,5802,0.7654753447956084,3.2257842123405722,0.34935969806645445,0.5789381331986156,8.666130304190608,0.41638036170709014,3358.9990488183676,1.17703158624473,0.2722332591523422,10s
2015,156.95378991480658,106.11091786779846,1.3574904006320931,6814.601811173108,5020,0.6491928243002234,3.0201195219123504,0.3226040708243325,0.5267291759081845,8.521384396034705,0.37955427651109486,2644.180463059086,1.1428298306873856,0.25554459254642015,10s
2016,163.74594013702045,92.06059823674704,1.4509220930567548,10896.424918856228,7510,0.692938777193942,2.969906790945406,0.34384208519611414,0.5441421617303797,8.924123891686012,0.3954492126880557,4086.5076345951516,1.1322624740121963,0.269515676972809,10s
2017,154.0492065861616,92.34555240294894,1.7067126405179112,10887.119933863754,6379,0.8245463978340788,2.9984323561686783,0.37570492392867677,0.5758393492416684,8.760923376338836,0.4223041740743392,3673.2792088126025,1.1353546254540317,0.28636498074760885,10s
2018,157.27798243785838,92.67185539943962,1.8799148760257545,10215.45743632395,5434,0.8956883986610842,3.0441663599558337,0.40734634678497955,0.6079566829845446,8.60061479955531,0.44805891020571936,3303.636615338016,1.1545462442657106,0.2997225920519657,10s
2019,155.71914032215764,81.67673727085554,2.0090237794940853,11132.000762176725,5541,0.8905177626901514,3.2028514708536364,0.39680908783504776,0.6311493697049113,8.620110725422924,0.4559374213716041,3497.1986575349138,1.185867108473349,0.2987661241057967,10s
2020,165.65961886283824,95.76585823833787,1.4209786301285023,8341.144558854308,5870,0.6911497317382326,2.875127768313458,0.34300710602322854,0.5289903156959592,8.677780256064185,0.38689004883986483,3105.1731531352807,1.110091402063101,0.26827422165245357,10s
