trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
ns,NA,NA,202.6,207.4,192.8,ns,0.2185,ns,NA,NA,48.32,47.49,48.5,ns,0.01041,ns,NA,NA,12.35,12.78,11.56,-,0.01297,-,-3900,7903000,1666000,1117000,548500,ns,0.4059,-,-281.9,572800,134900,87450,47430,-,0.5099,ns,NA,NA,5.78,5.988,5.397,-,0.0074400000000000004,-,-0.00539,14.2,3.37,3.392,3.328,-,0.007731,ns,NA,NA,1.624,1.69,1.501,ns,0.005198,-,-0.004146,9.279,0.9905,1.018,0.9408,-,0.01297,-,-0.05199,113.2,11.81,11.38,10.77,-,0.5099,ns,NA,NA,0.8427,0.8641,0.8032,-,0.0074400000000000004,-,-374,758000,133600,88980,44620,-,0.5724,-,-0.001198,3.641,1.24,1.245,1.231,-,0.007731,-,-0.001082,2.721,0.562,0.5759,0.5363,ns,0.005198,kazakhstan_Arid,33.627454493104956,Arid
-,-2.23,4686,209.6,216.3,186,ns,0.4683,+,1.012,-1973,62.03,59.08,66.39,ns,0.3434,-,-0.1024,209.2,4.601,5.238,3.211,-,0.0155,-,-273.9,554500,85110,66450,18660,-,0.614,-,-31.29,63640,18500,12690,5812,-,0.5099,-,-0.1083,220.3,3.39,3.9,2.276,-,0.0259,ns,NA,NA,3.258,3.267,3.239,ns,0.003265,-,-0.03119,63.69,1.182,1.337,0.8448,-,0.03033,-,-0.006963,14.78,0.7867,0.8073,0.7415,-,0.0155,-,-0.04878,104.6,9.825,9.448,8.668,-,0.5099,-,-0.008402,17.54,0.6728,0.7001,0.613,-,0.0259,-,-29.65,60230,14550,10240,4310,-,0.5515,ns,NA,NA,1.219,1.221,1.216,ns,0.003265,-,-0.005888,12.29,0.4528,0.474,0.4064,-,0.03033,kazakhstan_Boreal,658.1508521664445,Boreal
NA,NA,NA,198.9,200.4,176.4,NA,NA,NA,NA,NA,50.04,44.71,100,NA,NA,NA,NA,NA,4.3,4.87,1.529,NA,NA,NA,NA,NA,731,686.7,44.35,NA,NA,NA,NA,NA,170,141,29,NA,NA,NA,NA,NA,12.44,14.02,4.737,NA,NA,NA,NA,NA,2.712,2.702,2.759,NA,NA,NA,NA,NA,4.88,5.292,2.873,NA,NA,NA,NA,NA,0.9246,0.9626,0.7401,NA,NA,NA,NA,NA,5.142,4.956,3.401,NA,NA,NA,NA,NA,1.567,1.605,1.382,NA,NA,NA,NA,NA,157.2,135.7,21.46,NA,NA,NA,NA,NA,1.161,1.167,1.133,NA,NA,NA,NA,NA,1.228,1.258,1.085,NA,NA,kazakhstan_Temperate,76630.63928559702,Temperate
ns,NA,NA,237.6,238.4,236.5,ns,0.04668,ns,NA,NA,34.27,37.91,28.83,ns,0.0523,ns,NA,NA,0.4122,0.4353,0.3838,ns,0.01345,ns,NA,NA,98.52,57.46,41.07,ns,0.2185,ns,NA,NA,239,132,107,ns,0.2295,ns,NA,NA,0.4652,0.5415,0.3711,-,0.1725,ns,NA,NA,1.686,1.697,1.673,ns,6.142e-4,-,-0.008955,18.33,0.3681,0.4202,0.3038,-,0.1553,ns,NA,NA,0.3086,0.3183,0.2966,ns,0.01345,ns,NA,NA,5.481,4.89,4.682,ns,0.2295,ns,NA,NA,0.3324,0.3635,0.2939,-,0.1725,ns,NA,NA,73.75,42.01,31.74,ns,0.2393,ns,NA,NA,0.8828,0.8865,0.8782,ns,6.142e-4,-,-0.006238,12.81,0.2908,0.3193,0.2556,-,0.1553,kazakhstan_Polar,568563.8660965258,Polar
