trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
ns,NA,NA,224.2,227.9,217.9,ns,0.1977,+,1.97,-3882,80.09,74.95,87.79,ns,0.4059,ns,NA,NA,3.044,3.166,2.857,-,0.02398,-,-253.7,519500,183600,115700,67960,-,0.5099,-,-71.4,146800,60320,36530,23790,-,0.7389,ns,NA,NA,1.808,1.88,1.698,-,0.027,-,-0.004691,11.47,2.054,2.056,2.052,-,0.01881,ns,NA,NA,0.8545,0.8932,0.795,-,0.02667,-,-0.001419,3.574,0.7031,0.7188,0.6791,-,0.02398,-,-0.02383,56,11.01,10.51,10.08,-,0.7389,ns,NA,NA,0.5837,0.5984,0.561,-,0.027,-,-55.08,112900,42410,26260,16160,-,0.6556,-,-8.029e-4,2.628,1.002,1.003,1.001,-,0.01881,ns,NA,NA,0.445,0.4563,0.4276,-,0.02667,south_africa_Arid,137.3767238525008,Arid
ns,NA,NA,222,222,221.9,ns,0.07285,+,0.2929,-533.4,54.89,52.98,57.67,ns,0.281,-,-0.01431,30.88,2.032,2.09,1.951,-,0.01613,-,-780.1,1599000,589800,354800,235000,-,0.5724,-,-299.6,617300,290200,169800,120400,-,0.614,-,-0.006585,14.51,1.242,1.282,1.187,-,0.01539,ns,NA,NA,2.078,2.088,2.062,-,0.01653,ns,NA,NA,0.6391,0.6532,0.6191,-,0.01157,ns,NA,NA,0.6688,0.6769,0.6573,-,0.01613,-,-0.02005,49.92,12.58,12.04,11.7,-,0.614,ns,NA,NA,0.5451,0.5524,0.5348,-,0.01539,-,-211.3,434500,194100,114900,79160,-,0.5932,ns,NA,NA,1.012,1.014,1.009,-,0.01653,ns,NA,NA,0.4075,0.4126,0.4004,-,0.01157,south_africa_Temperate,42.76833612145121,Temperate
ns,NA,NA,193.1,195.2,190.2,ns,0.1145,-,-1.484,3048,69.75,74.32,63.04,ns,0.2393,ns,NA,NA,1.473,1.454,1.499,ns,0.008138,ns,NA,NA,8398,4799,3599,ns,0.1561,ns,NA,NA,5702,3301,2401,ns,0.281,ns,NA,NA,0.9148,0.9068,0.9259,ns,0.006325,ns,NA,NA,2.011,1.961,2.079,ns,0.01061,ns,NA,NA,0.5098,0.5198,0.4959,ns,0.01508,ns,NA,NA,0.5707,0.5696,0.5723,ns,0.008138,ns,NA,NA,8.649,8.102,7.784,ns,0.281,ns,NA,NA,0.4701,0.4695,0.471,ns,0.006325,ns,NA,NA,3254,1880,1374,ns,0.281,ns,NA,NA,0.9884,0.9779,1.003,ns,0.01061,ns,NA,NA,0.3564,0.3604,0.3508,ns,0.01508,south_africa_Equatorial,3003.9096668083307,Equatorial
ns,NA,NA,224.6,231.8,212.9,ns,0.01323,ns,NA,NA,27.53,18.51,34.9,ns,0.1046,-,-0.04042,81.89,0.9512,1.038,0.8374,ns,0.01354,ns,NA,NA,361.5,224.1,137.3,ns,0.3228,ns,NA,NA,380,216,164,ns,0.2505,ns,NA,NA,0.5858,0.6539,0.4961,ns,0.01646,-,-0.06226,127.7,2.358,2.5,2.171,ns,0.0904,ns,NA,NA,0.3462,0.3581,0.3305,ns,0.07774,-,-0.02056,41.8,0.4389,0.4619,0.4086,ns,0.01354,ns,NA,NA,5.943,5.38,5.106,ns,0.2505,ns,NA,NA,0.3657,0.3807,0.346,ns,0.01646,ns,NA,NA,166.8,99.76,67.01,ns,0.2811,-,-0.01662,34.46,1.055,1.089,1.011,ns,0.0904,ns,NA,NA,0.2758,0.2784,0.2723,ns,0.07774,south_africa_Polar,69791.4069140529,Polar
+,1.822,-3433,223.9,225,220.8,ns,0.3501,ns,NA,NA,22.74,19.59,30.06,ns,0.1046,-,-0.04424,89.95,1.306,1.555,0.8919,ns,0.04133,-,-0.8381,1690,236.4,175.7,60.65,ns,0.4059,-,-0.5641,1141,181,113,68,ns,0.3447,ns,NA,NA,0.982,1.064,0.846,ns,0.09844,ns,NA,NA,2.575,2.628,2.485,ns,0.06609,ns,NA,NA,0.4985,0.486,0.5191,ns,0.0718,ns,NA,NA,0.5018,0.5073,0.4927,ns,0.04133,-,-0.08091,165.1,5.204,4.736,4.234,ns,0.3447,ns,NA,NA,0.4825,0.4762,0.4931,ns,0.09844,-,-0.4064,821.4,90.82,57.32,33.51,ns,0.3434,ns,NA,NA,1.112,1.104,1.124,ns,0.06609,ns,NA,NA,0.3526,0.3421,0.3699,ns,0.0718,south_africa_Boreal,106729.67372867251,Boreal
