trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
ns,NA,NA,213,219,187.2,ns,0.09366,+,2.202,-4378,66.95,54.2,101.5,+,0.5099,-,-0.09758,197.8,2.307,2.57,1.604,-,0.1278,-,-7.188,14490,1746,1416,330.5,-,0.5724,-,-2.545,5142,757,551,206,-,0.4794,-,-0.2608,528.6,6.319,7.478,3.22,-,0.1843,ns,NA,NA,3.247,3.307,3.087,ns,0.0642,-,-0.1244,251.7,2.623,3.097,1.357,-,0.1762,-,-0.01533,31.57,0.8319,0.8846,0.691,-,0.1278,-,-0.09609,196.3,6.631,6.314,5.333,-,0.4794,-,-0.01941,40.18,1.266,1.361,1.012,-,0.1843,-,-2.53,5107,629.8,487.4,142.3,-,0.614,ns,NA,NA,1.266,1.285,1.213,ns,0.0642,-,-0.02786,56.85,0.9302,1.006,0.7281,-,0.1762,kyrgyzstan_Arid,2348.7492204536647,Arid
ns,NA,NA,251,249.3,265.9,ns,0.1561,ns,NA,NA,47.45,46.51,52.66,ns,0.05203,-,-0.1143,231.2,3.109,3.857,1.172,-,0.2096,-,-3.933,7936,1629,1458,171.1,-,0.6764,-,-1.795,3623,524,378,146,-,0.5209,-,-0.2753,557.4,5.637,6.954,2.227,-,0.261,-,-0.07832,161,3.55,3.722,3.103,-,0.1131,-,-0.09111,184.9,2.386,2.819,1.265,-,0.2904,-,-0.03662,74.6,0.916,1.039,0.5976,-,0.2096,-,-0.1334,271,6.263,5.938,4.99,-,0.5209,-,-0.05668,115.4,1.303,1.457,0.9056,-,0.261,-,-1.543,3114,480,392.7,87.25,-,0.6764,-,-0.0111,23.67,1.306,1.347,1.199,-,0.1131,-,-0.01302,27.03,0.9483,1.048,0.6908,-,0.2904,kyrgyzstan_Boreal,2518.270821310157,Boreal
+,1.53,-2824,247.2,229,262.6,+,0.6068,ns,NA,NA,36.72,38.74,26.63,ns,0.05214,ns,NA,NA,0.5462,0.5425,0.5493,ns,0.01395,ns,NA,NA,436.4,199.1,237.3,ns,0.2602,ns,NA,NA,799,367,432,ns,0.1977,-,-0.02308,47.37,0.9747,1.092,0.875,-,0.1601,ns,NA,NA,1.991,2.005,1.979,ns,0.02628,-,-0.01181,24.43,0.7347,0.8135,0.6679,-,0.1212,ns,NA,NA,0.3759,0.3733,0.378,ns,0.01395,ns,NA,NA,6.685,5.908,6.071,ns,0.1977,-,-0.0101,20.92,0.6145,0.6588,0.5768,-,0.1601,+,1.136,-2268,300.3,137,163.3,ns,0.2602,ns,NA,NA,0.966,0.9676,0.9647,ns,0.02628,-,-0.00641,13.42,0.5205,0.556,0.4903,-,0.1212,kyrgyzstan_Polar,9399.623483931646,Polar
