trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
+,2.679,-5147,227.5,212.9,265.6,ns,0.3226,ns,NA,NA,102.4,102.6,92.17,ns,0.07285,ns,NA,NA,0.6156,0.6551,0.532,ns,0.05009,-,-0.9176,1857,338,244.3,93.63,-,0.718,-,-1,2031,549,373,176,-,0.6681,ns,NA,NA,0.4109,0.4391,0.3513,ns,0.07607,ns,NA,NA,2.543,2.515,2.602,ns,0.01958,-,-0.002217,4.744,0.2723,0.2841,0.2473,-,0.1145,ns,NA,NA,0.4036,0.4193,0.3703,ns,0.05009,-,-0.05716,118,6.31,5.924,5.176,-,0.6681,ns,NA,NA,0.3095,0.3224,0.2822,ns,0.07607,-,-0.4949,1003,221.6,156.4,65.17,-,0.6764,ns,NA,NA,1.085,1.085,1.084,ns,0.01958,-,-0.002048,4.353,0.2316,0.2398,0.2143,-,0.1145,chile_Boreal,44690.28537759561,Boreal
ns,NA,NA,198.5,179.7,217,ns,0.1145,ns,NA,NA,138.6,137.7,137.4,ns,0.01041,-,-0.01272,26.16,0.532,0.5474,0.5176,ns,0.0669,ns,NA,NA,346.3,171.9,174.4,ns,0.1769,ns,NA,NA,651,314,337,ns,0.2606,-,-0.003666,7.7,0.3347,0.348,0.3223,ns,0.04505,ns,NA,NA,2.465,2.382,2.543,ns,9.869e-4,-,-9.447e-4,2.147,0.2429,0.2507,0.2355,ns,0.04718,-,-0.005523,11.49,0.377,0.3848,0.3697,ns,0.0669,+,0.02576,-48.56,6.48,5.753,5.823,ns,0.2606,-,-0.001564,3.422,0.2745,0.2815,0.268,ns,0.04505,ns,NA,NA,245.4,120.8,124.6,ns,0.2185,ns,NA,NA,1.067,1.055,1.077,ns,9.869e-4,-,-7.705e-4,1.763,0.2126,0.2177,0.2079,ns,0.04718,chile_Polar,43613.19741051429,Polar
ns,NA,NA,83.05,112.9,66.31,ns,0.281,ns,NA,NA,88.87,105.8,72.55,ns,0.385,ns,NA,NA,2.57,2.121,2.916,ns,0.004824,+,33.18,-65930,20260,7284,12970,ns,0.3018,+,7.4,-14490,7882,3434,4448,ns,0.4688,ns,NA,NA,1.244,1.1,1.356,ns,0.01191,ns,NA,NA,3.429,3.393,3.458,ns,3.297e-4,ns,NA,NA,0.4507,0.4313,0.4656,ns,0.01379,ns,NA,NA,0.6656,0.6707,0.6617,ns,0.004824,+,0.01855,-31.34,8.972,8.142,8.4,ns,0.4688,ns,NA,NA,0.4832,0.491,0.4773,ns,0.01191,+,9.749,-19330,5247,2303,2943,ns,0.385,ns,NA,NA,1.232,1.228,1.236,ns,3.297e-4,ns,NA,NA,0.3066,0.31,0.304,ns,0.01379,chile_Temperate,745.6781569943504,Temperate
NA,NA,NA,102.2,111.5,66.55,NA,NA,NA,NA,NA,93.91,92.43,91.83,NA,NA,NA,NA,NA,1.611,1.464,2.633,NA,NA,NA,NA,NA,269,213.7,55.29,NA,NA,NA,NA,NA,167,146,21,NA,NA,NA,NA,NA,0.6324,0.494,1.595,NA,NA,NA,NA,NA,2.563,2.37,3.905,NA,NA,NA,NA,NA,0.3678,0.3474,0.5101,NA,NA,NA,NA,NA,0.4476,0.3987,0.7878,NA,NA,NA,NA,NA,5.124,4.99,3.091,NA,NA,NA,NA,NA,0.3341,0.2996,0.5736,NA,NA,NA,NA,NA,74.75,58.21,16.54,NA,NA,NA,NA,NA,1.094,1.054,1.375,NA,NA,NA,NA,NA,0.2612,0.2497,0.3409,NA,NA,chile_Arid,56147.82769176478,Arid
