all_size,00s_size,10s_size,all_n_fires,00s_n_fires,10s_n_fires,all_total_ba,00s_total_ba,10s_total_ba,all_log_size,00s_log_size,10s_log_size,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,all_log_tba,00s_log_tba,10s_log_tba,all_log_dur,00s_log_dur,10s_log_dur,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,all_dur,00s_dur,10s_dur,all_mx_grw,00s_mx_grw,10s_mx_grw,all_fsr,00s_fsr,10s_fsr,all_peak_season,00s_peak_season,10s_peak_season,all_season_length,00s_season_length,10s_season_length,aoi,fire_rotation,test_n_fires,test_total_ba,test_size,test_dur,test_mx_grw,test_fsr,test_peak_season,test_season_length,eff_n_fires,eff_total_ba,eff_size,eff_dur,eff_mx_grw,eff_fsr,eff_peak_season,eff_season_length,trend_n_fires,trend_total_ba,trend_size,trend_dur,trend_mx_grw,trend_fsr,trend_peak_season,trend_season_length,coeficient_n_fires,coeficient_total_ba,coeficient_size,coeficient_dur,coeficient_mx_grw,coeficient_fsr,coeficient_peak_season,coeficient_season_length,intercept_n_fires,intercept_total_ba,intercept_size,intercept_dur,intercept_mx_grw,intercept_fsr,intercept_peak_season,intercept_season_length,koppen,trend_log_size,coeficient_log_size,intercept_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy
2.507,2.852,2.227,67,30,37,168,85.55,82.4,0.8947,0.9213,0.8732,4.22,3.434,3.638,1.849,1.839,1.857,59.95,27.64,32.31,1.262,1.289,1.239,1.438,1.421,1.451,3.448,3.533,3.378,9.554,9.445,9.642,4.553,4.169,4.864,147.4,147,147.8,36.63,35.68,37.8,israel_Arid,2739.919050581589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.814,2.095,1.365,247,152,95,448.1,318.5,129.7,0.7545,0.8094,0.6667,5.513,5.03,4.564,1.619,1.646,1.576,186.4,123,63.34,1.222,1.216,1.231,1.241,1.284,1.172,2.972,2.901,3.084,6.97,7.651,5.879,3.26,3.547,2.8,212.8,218.2,199.7,68.95,63.09,80.36,israel_Temperate,1026.8799242793596,ns,ns,ns,ns,ns,ns,ns,ns,0.2511,0.3642,0.1115,0.008043,0.0365,0.09224,0.07001,0.2186,ns,ns,-,ns,ns,ns,ns,ns,NA,NA,-0.0422,NA,NA,NA,NA,NA,NA,NA,86.35,NA,NA,NA,NA,NA,Temperate,-,-0.01786,36.74,ns,0.1115,-,-0.02629,54.96,ns,0.2511,ns,NA,NA,ns,0.0365,-,-0.1911,387.9,ns,0.3018,ns,NA,NA,ns,0.008043,ns,NA,NA,ns,0.09224
