Country,Total Burned Area,N Fires,Peak Season,Season Length,Size,Fire Spread Rate,Max Growth,Duration
australia,"9,810,000","1,280,000 (+)",238 (-),85.07 (+),7.7 (-),1 (-),2.7 (-),2.1
new_zealand,585.9 (+),572,157 (-),124.6,1 (+),0.3 (+),0.6 (+),2.6
papua_new_guinea,"53,390","31,820",248,51.61,1.7 (-),0.3 (-),0.7 (-),3.7
