Country,Total Burned Area,N Fires,Peak Season,Season Length,Size,Fire Spread Rate,Max Growth,Duration
argentina,"835,400 (-)","482,500 (-)",200,106.2,1.7 (+),0.4 (+),0.9 (+),3
bolivia,"754,600 (-)","191,500 (-)",239 (+),38.4 (+),3.9,0.5,1.5,4 (-)
venezuela,"566,300","247,600",105,114,2.3,0.4,1,3.9
uruguay,"5,600 (-)","6,395 (-)",168,107.9,0.9,0.3,0.5,3
paraguay,"495,200","335,600",203,82.8,1.5,0.3,0.8,3 (+)
colombia,"446,700 (-)","153,800 (-)",92,113.6 (-),2.9 (-),0.5 (-),1.3 (-),3.7 (-)
ecuador,"4,768 (+)","4,224",289,54.65 (-),1.1 (+),0.3,0.6 (+),2.9 (+)
suriname,"4,736","2,247",232,94.58,2.1,0.9,2.9,4.1 (-)
brazil,"3,818,000","1,286,000 (-)",235,57.61 (+),3 (+),0.5 (+),1.2 (+),3.9 (+)
chile,"21,210 (+)","9,261 (+)",88,93.14,2.3,0.4,1.1,3.3
peru,"20,920","22,040",239,49.3,0.9 (+),0.3 (+),0.5 (+),2.9
guyana,"16,420 (+)","11,120 (+)",186,123.2,1.5,0.7 (-),1.4 (-),3.7
